Дата операции;Дата платежа;Номер карты;Статус;Сумма операции;Валюта операции;Сумма платежа;Валюта платежа;Кэшбэк;Категория;MCC;Описание;Бонусы (включая кэшбэк);Округление на инвесткопилку;Сумма операции с округлением
10.02.2023 12:32;10.02.2023;*8125;OK;-249;RUB;-249;RUB;;Супермаркеты;5411;Мираторг;0;0;249
08.02.2023 16:29;08.02.2023;*8125;OK;-344;RUB;-344;RUB;;Фастфуд;5814;Вкусно — и точка;0;0;344
08.02.2023 15:39;09.02.2023;*8125;OK;-100;RUB;-100;RUB;;Местный транспорт;4111;Тройка;0;0;100
07.02.2023 22:41;08.02.2023;*8125;OK;-1040,76;RUB;-1040,76;RUB;;Супермаркеты;5411;Мираторг;0;0;1040,76
06.02.2023 14:16;06.02.2023;*8125;OK;-577,77;RUB;-577,77;RUB;;Связь;4816;Ростелеком;0;0;577,77
05.02.2023 11:48;05.02.2023;*8125;OK;-740;RUB;-740;RUB;;Развлечения;7922;Афиша;0;0;740
05.02.2023 10:47;05.02.2023;;OK;-713,37;RUB;-713,37;RUB;;ЖКХ;;МосЭнергоСбыт;0;0;713,37
05.02.2023 10:46;05.02.2023;;OK;-1752;RUB;-1752;RUB;;Переводы;;Дмитрий Г.;0;0;1752
05.02.2023 3:06;;;FAILED;713,37;RUB;713,37;RUB;;ЖКХ;;МосЭнергоСбыт;0;0;713,37
05.02.2023 1:04;;;FAILED;-713,37;RUB;-713,37;RUB;;ЖКХ;;МосЭнергоСбыт;0;0;713,37
05.02.2023 1:03;05.02.2023;;OK;-4077,41;RUB;-4077,41;RUB;;ЖКХ;;Сервисград (Москва);0;0;4077,41
04.02.2023 22:58;05.02.2023;*8125;OK;370;RUB;370;RUB;;Переводы;;Дарья Ю.;0;0;370
04.02.2023 22:53;05.02.2023;*8125;OK;-745;RUB;-745;RUB;;Супермаркеты;5411;Азбука Вкуса;0;0;745
04.02.2023 22:43;05.02.2023;*8125;OK;-230;RUB;-230;RUB;;Супермаркеты;5411;Азбука Вкуса;0;0;230
04.02.2023 21:35;04.02.2023;;OK;-2510;RUB;-2510;RUB;;Переводы;;Надежда Ш.;0;0;2510
03.02.2023 14:40;03.02.2023;;OK;20000;RUB;20000;RUB;;Переводы;;Перевод между счетами;0;0;20000
03.02.2023 14:40;03.02.2023;;OK;-20000;RUB;-20000;RUB;;Переводы;;Перевод между счетами;0;0;20000
03.02.2023 14:39;03.02.2023;*8125;OK;56499,18;RUB;56499,18;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;56499,18
03.02.2023 11:38;03.02.2023;*8125;OK;-269;RUB;-269;RUB;;Супермаркеты;5411;Мираторг;0;0;269
03.02.2023 0:43;03.02.2023;;OK;-250;RUB;-250;RUB;;Другое;;Штрафы ГИБДД;0;0;250
02.02.2023 11:41;02.02.2023;*8125;OK;-318,8;RUB;-318,8;RUB;;Супермаркеты;5411;Мираторг;0;0;318,8
01.02.2023 22:35;02.02.2023;*8125;OK;-1572,81;RUB;-1572,81;RUB;;Супермаркеты;5411;Ашан;0;0;1572,81
01.02.2023 22:26;02.02.2023;*8125;OK;-587,98;RUB;-587,98;RUB;;Супермаркеты;5411;Ашан;0;0;587,98
01.02.2023 22:04;02.02.2023;*8125;OK;-104;RUB;-104;RUB;;Дом и ремонт;5200;Леруа Мерлен;0;0;104
01.02.2023 10:42;01.02.2023;*8125;OK;-226,61;RUB;-226,61;RUB;;Супермаркеты;5411;Мираторг;0;0;226,61
01.02.2023 10:41;01.02.2023;;OK;-8000;RUB;-8000;RUB;;Переводы;;Перевод между счетами;0;0;8000
01.02.2023 10:41;01.02.2023;;OK;8000;RUB;8000;RUB;;Переводы;;Перевод между счетами;0;0;8000
31.01.2023 21:54;01.02.2023;*8125;OK;-346,7;RUB;-346,7;RUB;3;Супермаркеты;5411;Мираторг;3;0;346,7
31.01.2023 12:03;31.01.2023;*8125;OK;-270,8;RUB;-270,8;RUB;2;Супермаркеты;5411;Мираторг;2;0;270,8
30.01.2023 20:55;30.01.2023;*8125;OK;-913,52;RUB;-913,52;RUB;9;Супермаркеты;5411;Мираторг;9;0;913,52
30.01.2023 20:47;01.02.2023;*8125;OK;-1481,7;RUB;-1481,7;RUB;14;Топливо;5541;Teboil;14;0;1481,7
30.01.2023 15:43;30.01.2023;;OK;-199;RUB;-199;RUB;;Другое;;Подписка Tinkoff pro;0;0;199
30.01.2023 10:38;30.01.2023;;OK;-3860;RUB;-3860;RUB;;Переводы;;Дарья Ю.;0;0;3860
30.01.2023 10:32;30.01.2023;*8125;OK;-297,22;RUB;-297,22;RUB;2;Супермаркеты;5411;Мираторг;2;0;297,22
28.01.2023 14:11;30.01.2023;*8125;OK;-1035,99;RUB;-1035,99;RUB;10;Топливо;5541;Яндекс.Заправки;10;0;1035,99
28.01.2023 13:41;28.01.2023;*8125;OK;-861,98;RUB;-861,98;RUB;8;Супермаркеты;5411;Перекрёсток;8;0;861,98
28.01.2023 13:15;28.01.2023;*8125;OK;-1940;RUB;-1940;RUB;19;Медицина;8021;OOO Ulybka;19;0;1940
27.01.2023 20:50;27.01.2023;*8125;OK;-390,07;RUB;-390,07;RUB;3;Супермаркеты;5411;Мираторг;3;0;390,07
27.01.2023 20:36;29.01.2023;*8125;OK;-1415,58;RUB;-1415,58;RUB;14;Топливо;5541;Teboil;14;0;1415,58
27.01.2023 15:20;28.01.2023;*8125;OK;-96;RUB;-96;RUB;;Местный транспорт;4111;Тройка;0;0;96
26.01.2023 21:06;26.01.2023;*8125;OK;-737,64;RUB;-737,64;RUB;7;Супермаркеты;5411;Мираторг;7;0;737,64
26.01.2023 12:03;26.01.2023;*8125;OK;-324,8;RUB;-324,8;RUB;3;Супермаркеты;5411;Мираторг;3;0;324,8
25.01.2023 23:25;25.01.2023;;OK;555,55;RUB;555,55;RUB;;Бонусы;;Кэшбэк за обычные покупки;0;0;555,55
25.01.2023 23:21;25.01.2023;;OK;34,45;RUB;34,45;RUB;;Бонусы;;Кэшбэк за обычные покупки;0;0;34,45
25.01.2023 22:52;25.01.2023;;OK;128,16;RUB;128,16;RUB;;Бонусы;;Проценты на остаток;0;0;128,16
25.01.2023 21:26;25.01.2023;*8125;OK;-1540;RUB;-1540;RUB;15;Фастфуд;5814;Yami-yami;15;0;1540
25.01.2023 11:02;25.01.2023;*8125;OK;-354,83;RUB;-354,83;RUB;3;Супермаркеты;5411;Мираторг;3;0;354,83
24.01.2023 20:49;24.01.2023;*8125;OK;-239,8;RUB;-239,8;RUB;2;Супермаркеты;5411;Мираторг;2;0;239,8
24.01.2023 11:12;24.01.2023;*8125;OK;-290,46;RUB;-290,46;RUB;2;Супермаркеты;5411;Мираторг;2;0;290,46
24.01.2023 11:03;24.01.2023;;OK;-836,15;RUB;-836,15;RUB;;ЖКХ;;Мосводоканал (Москва);0;0;836,15
23.01.2023 10:50;23.01.2023;*8125;OK;-524,35;RUB;-524,35;RUB;5;Супермаркеты;5411;Мираторг;5;0;524,35
23.01.2023 0:30;23.01.2023;;OK;-184;RUB;-184;RUB;;Переводы;;Дмитрий Г.;0;0;184
22.01.2023 21:52;22.01.2023;;OK;-2400;RUB;-2400;RUB;;Переводы;;Дарья Ю.;0;0;2400
22.01.2023 17:19;22.01.2023;*8125;OK;-265;RUB;-265;RUB;2;Супермаркеты;5411;Shell;2;0;265
22.01.2023 15:52;22.01.2023;*8125;OK;9400;RUB;9400;RUB;;Переводы;;Дарья Ю.;0;0;9400
22.01.2023 15:51;23.01.2023;*8125;OK;-18800;RUB;-18800;RUB;188;Отели;7011;"Gost.""Shkiperskaya""";188;0;18800
21.01.2023 12:16;21.01.2023;;OK;-137;RUB;-137;RUB;;Переводы;;Дмитрий Г.;0;0;137
20.01.2023 21:04;20.01.2023;;OK;-500;RUB;-500;RUB;;Переводы;;Дарья Ю.;0;0;500
20.01.2023 19:08;20.01.2023;*8125;OK;-85,9;RUB;-85,9;RUB;;Супермаркеты;5411;Мираторг;0;0;85,9
20.01.2023 16:20;20.01.2023;;OK;-325;RUB;-325;RUB;;Переводы;;Дмитрий Г.;0;0;325
20.01.2023 14:09;20.01.2023;;OK;8000;RUB;8000;RUB;;Переводы;;Перевод между счетами;0;0;8000
20.01.2023 14:09;20.01.2023;;OK;-8000;RUB;-8000;RUB;;Переводы;;Перевод между счетами;0;0;8000
20.01.2023 14:07;20.01.2023;*8125;OK;23540,82;RUB;23540,82;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;23540,82
19.01.2023 11:38;19.01.2023;*8125;OK;-249;RUB;-249;RUB;2;Супермаркеты;5411;Мираторг;2;0;249
18.01.2023 17:34;18.01.2023;*8125;OK;-390;RUB;-390;RUB;3;Фастфуд;5814;Cofix;3;0;390
18.01.2023 11:14;18.01.2023;*8125;OK;-420,74;RUB;-420,74;RUB;4;Супермаркеты;5411;Мираторг;4;0;420,74
18.01.2023 10:41;18.01.2023;;OK;3728,56;RUB;3728,56;RUB;;Переводы;;Перевод между счетами;0;0;3728,56
18.01.2023 10:41;18.01.2023;;OK;-3728,56;RUB;-3728,56;RUB;;Переводы;;Перевод между счетами;0;0;3728,56
17.01.2023 21:05;17.01.2023;*8125;OK;-286,51;RUB;-286,51;RUB;2;Супермаркеты;5411;Мираторг;2;0;286,51
17.01.2023 16:37;17.01.2023;;OK;-2500;RUB;-2500;RUB;;Переводы;;Дарья Ю.;0;0;2500
17.01.2023 11:14;17.01.2023;*8125;OK;-349,83;RUB;-349,83;RUB;3;Супермаркеты;5411;Мираторг;3;0;349,83
16.01.2023 11:01;16.01.2023;*8125;OK;-249;RUB;-249;RUB;2;Супермаркеты;5411;Мираторг;2;0;249
15.01.2023 22:40;15.01.2023;;OK;21,44;RUB;21,44;RUB;;Бонусы;;Проценты на остаток;0;0;21,44
15.01.2023 15:23;15.01.2023;;OK;-478;RUB;-478;RUB;;Переводы;;Дмитрий Г.;0;0;478
15.01.2023 12:14;15.01.2023;;OK;6250;RUB;6250;RUB;;Переводы;;Перевод между счетами;0;0;6250
15.01.2023 12:14;15.01.2023;;OK;-6250;RUB;-6250;RUB;;Переводы;;Перевод между счетами;0;0;6250
15.01.2023 12:04;15.01.2023;*8125;OK;2200;RUB;2200;RUB;;Переводы;;Дарья Ю.;0;0;2200
15.01.2023 12:01;15.01.2023;;OK;-3400;RUB;-3400;RUB;;Переводы;;Дарья Ю.;0;0;3400
14.01.2023 23:16;16.01.2023;*8125;OK;-500;RUB;-500;RUB;5;Топливо;5541;Teboil;5;0;500
14.01.2023 23:12;15.01.2023;;OK;-1722,27;RUB;-1722,27;RUB;85;Топливо;5541;Тинькофф Топливо;120;0;1722,27
14.01.2023 21:32;14.01.2023;*8125;OK;-332;RUB;-332;RUB;3;Супермаркеты;5499;Domashnyaya Ptica;3;0;332
13.01.2023 19:51;13.01.2023;;OK;-467,99;RUB;-467,99;RUB;;ЖКХ;;МосЭнергоСбыт;0;0;467,99
13.01.2023 19:51;14.01.2023;;OK;-2095,94;RUB;-2095,94;RUB;;ЖКХ;;МОЭК (Москва);0;0;2095,94
13.01.2023 17:09;13.01.2023;*8125;OK;25404;RUB;25404;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;25404
13.01.2023 11:56;13.01.2023;;OK;-3000;RUB;-3000;RUB;;Переводы;;Дарья Ю.;0;0;3000
12.01.2023 17:58;12.01.2023;;OK;-250;RUB;-250;RUB;;Другое;;Штрафы ГИБДД;0;0;250
11.01.2023 20:56;11.01.2023;*8125;OK;-601,19;RUB;-601,19;RUB;6;Супермаркеты;5411;Мираторг;6;0;601,19
11.01.2023 11:15;11.01.2023;*8125;OK;-249;RUB;-249;RUB;2;Супермаркеты;5411;Мираторг;2;0;249
11.01.2023 1:35;11.01.2023;;OK;-4423;RUB;-4423;RUB;;Переводы;;Дмитрий Г.;0;0;4423
10.01.2023 20:44;10.01.2023;*8125;OK;-364,09;RUB;-364,09;RUB;3;Супермаркеты;5411;Мираторг;3;0;364,09
10.01.2023 13:57;10.01.2023;;OK;-325;RUB;-325;RUB;;Связь;4814;МегаФон;0;0;325
10.01.2023 11:17;10.01.2023;*8125;OK;-367,73;RUB;-367,73;RUB;3;Супермаркеты;5411;Мираторг;3;0;367,73
10.01.2023 1:22;10.01.2023;;OK;-2684;RUB;-2684;RUB;;Переводы;;Дмитрий Г.;0;0;2684
09.01.2023 11:19;09.01.2023;*8125;OK;-249;RUB;-249;RUB;2;Супермаркеты;5411;Мираторг;2;0;249
08.01.2023 12:35;08.01.2023;;OK;-2900;RUB;-2900;RUB;;Переводы;;Дарья Ю.;0;0;2900
07.01.2023 22:17;08.01.2023;*8125;OK;-703,19;RUB;-703,19;RUB;7;Супермаркеты;5411;Мираторг;7;0;703,19
07.01.2023 20:51;07.01.2023;*8125;OK;-3380;RUB;-3380;RUB;33;Рестораны;5812;Булошная;33;0;3380
06.01.2023 11:27;06.01.2023;;OK;-583,2;RUB;-583,2;RUB;;Связь;4814;Ростелеком;0;0;583,2
05.01.2023 16:53;05.01.2023;*8125;OK;-910,14;RUB;-910,14;RUB;9;Супермаркеты;5411;Мираторг;9;0;910,14
03.01.2023 15:18;03.01.2023;*8125;OK;-10,17;RUB;-10,17;RUB;;Супермаркеты;5411;Мираторг;0;0;10,17
03.01.2023 14:52;03.01.2023;*8125;OK;1215;RUB;1215;RUB;;Переводы;;Олег К.;0;0;1215
03.01.2023 14:51;03.01.2023;*8125;OK;-2430;RUB;-2430;RUB;24;Рестораны;5812;Вареничная №1;24;0;2430
02.01.2023 2:04;02.01.2023;*8125;OK;2000;RUB;2000;RUB;;Пополнения;;Дмитрий Г.;0;0;2000
02.01.2023 2:02;02.01.2023;*2219;FAILED;0;RUB;0;RUB;;;;Перевод для закрытия накопительного счета;0;0;0
02.01.2023 2:02;02.01.2023;;OK;1;RUB;1;RUB;;Переводы;;Перевод между счетами;0;0;1
02.01.2023 2:01;02.01.2023;;OK;-1;RUB;-1;RUB;;Переводы;;Перевод между счетами;0;0;1
02.01.2023 1:59;02.01.2023;;OK;-24,51;RUB;-24,51;RUB;;Переводы;;Перевод между счетами;0;0;24,51
02.01.2023 1:59;02.01.2023;;OK;24,51;RUB;24,51;RUB;;Переводы;;Перевод между счетами;0;0;24,51
02.01.2023 1:59;02.01.2023;;OK;10000;RUB;10000;RUB;;Переводы;;Перевод между счетами;0;0;10000
02.01.2023 1:59;02.01.2023;;OK;-10000;RUB;-10000;RUB;;Переводы;;Перевод между счетами;0;0;10000
01.01.2023 15:13;01.01.2023;*8125;OK;-999,9;RUB;-999,9;RUB;;Супермаркеты;5411;Мираторг;0;0;999,9
31.12.2022 20:38;02.01.2023;*8125;OK;-1053,99;RUB;-1053,99;RUB;10;Топливо;5541;Яндекс.Заправки;10;0;1053,99
31.12.2022 19:38;31.12.2022;*8125;OK;-2250;RUB;-2250;RUB;22;Рестораны;5813;OOO Ryumka Svobody;22;0;2250
31.12.2022 14:53;31.12.2022;*8125;OK;-649,69;RUB;-649,69;RUB;6;Супермаркеты;5411;Мираторг;6;0;649,69
30.12.2022 23:38;31.12.2022;*8125;OK;-5267,71;RUB;-5267,71;RUB;52;Супермаркеты;5411;Ашан;52;0;5267,71
30.12.2022 22:43;31.12.2022;*8125;OK;-999;RUB;-999;RUB;9;Супермаркеты;5411;Ашан;9;0;999
30.12.2022 18:17;30.12.2022;;OK;-199;RUB;-199;RUB;;Другое;;Подписка Tinkoff pro;0;0;199
30.12.2022 11:31;30.12.2022;*8125;OK;40020;RUB;40020;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;40020
29.12.2022 11:52;29.12.2022;*8125;OK;-401,94;RUB;-401,94;RUB;4;Супермаркеты;5411;Мираторг;4;0;401,94
28.12.2022 17:16;28.12.2022;*8125;OK;3000;RUB;3000;RUB;;Пополнения;;Дмитрий Г.;0;0;3000
28.12.2022 16:47;28.12.2022;*8125;OK;-1014,46;RUB;-1014,46;RUB;10;Фастфуд;5814;Грабли;10;0;1014,46
28.12.2022 16:27;28.12.2022;;OK;-1029;RUB;-1029;RUB;;Переводы;;Дмитрий Г.;0;0;1029
28.12.2022 12:42;29.12.2022;*8125;OK;-96;RUB;-96;RUB;;Местный транспорт;4111;Тройка;0;0;96
28.12.2022 11:48;28.12.2022;*8125;OK;3000;RUB;3000;RUB;;Пополнения;;Дмитрий Г.;0;0;3000
28.12.2022 11:46;28.12.2022;;OK;-3000;RUB;-3000;RUB;;Переводы;;Дмитрий Г.;0;0;3000
27.12.2022 21:21;28.12.2022;;OK;-315,29;RUB;-315,29;RUB;;ЖКХ;;Мосводоканал (Москва);0;0;315,29
27.12.2022 20:34;27.12.2022;*8125;OK;-303,83;RUB;-303,83;RUB;3;Супермаркеты;5411;Мираторг;3;0;303,83
27.12.2022 20:01;27.12.2022;;OK;-2000;RUB;-2000;RUB;;Переводы;;Николай М.;0;0;2000
27.12.2022 9:47;27.12.2022;;OK;-250;RUB;-250;RUB;;Другое;;Штрафы ГИБДД;0;0;250
25.12.2022 23:15;25.12.2022;;OK;482;RUB;482;RUB;;Бонусы;;Кэшбэк за обычные покупки;0;0;482
25.12.2022 23:11;25.12.2022;;OK;56,71;RUB;56,71;RUB;;Бонусы;;Кэшбэк за покупки по акциям;0;0;56,71
25.12.2022 22:44;25.12.2022;;OK;88,37;RUB;88,37;RUB;;Бонусы;;Проценты на остаток;0;0;88,37
25.12.2022 10:16;26.12.2022;*8125;OK;-1035,99;RUB;-1035,99;RUB;10;Топливо;5541;Яндекс.Заправки;10;0;1035,99
24.12.2022 12:07;24.12.2022;*8125;OK;-1940;RUB;-1940;RUB;19;Медицина;8021;OOO Ulybka;19;0;1940
24.12.2022 9:58;26.12.2022;*8125;OK;-1432,39;RUB;-1432,39;RUB;14;Топливо;5541;Яндекс.Заправки;14;0;1432,39
23.12.2022 23:44;24.12.2022;;OK;-2257;RUB;-2257;RUB;;Переводы;;Дарья Ю.;0;0;2257
23.12.2022 20:34;23.12.2022;*8125;OK;596;RUB;596;RUB;;Пополнения;;Дмитрий Г.;0;0;596
23.12.2022 19:25;23.12.2022;*8125;OK;-241,9;RUB;-241,9;RUB;2;Супермаркеты;5411;Мираторг;2;0;241,9
23.12.2022 11:14;23.12.2022;*8125;OK;-1053;RUB;-1053;RUB;10;Дом и ремонт;5200;Леруа Мерлен;10;0;1053
22.12.2022 21:00;22.12.2022;;OK;-673,48;RUB;-673,48;RUB;;ЖКХ;;МосЭнергоСбыт;0;0;673,48
22.12.2022 20:59;23.12.2022;;OK;-3696,16;RUB;-3696,16;RUB;;ЖКХ;;Сервисград (Москва);0;0;3696,16
22.12.2022 13:18;22.12.2022;;OK;-800;RUB;-800;RUB;;Переводы;;Юрий М.;0;0;800
22.12.2022 12:27;22.12.2022;*8125;OK;-426;RUB;-426;RUB;4;Различные товары;5331;Fix Price;4;0;426
21.12.2022 13:12;21.12.2022;*8125;OK;-2040;RUB;-2040;RUB;20;Образование;8220;Stepik;20;0;2040
21.12.2022 11:02;21.12.2022;*8125;OK;-300,81;RUB;-300,81;RUB;3;Супермаркеты;5411;Мираторг;3;0;300,81
20.12.2022 15:38;20.12.2022;;OK;-1331;RUB;-1331;RUB;;Переводы;;Дмитрий Г.;0;0;1331
20.12.2022 15:10;20.12.2022;;OK;-10650;RUB;-10650;RUB;;Переводы;;Дарья Ю.;0;0;10650
20.12.2022 14:41;20.12.2022;*8125;OK;40020;RUB;40020;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;40020
20.12.2022 13:53;20.12.2022;*8125;OK;350;RUB;350;RUB;;Переводы;;Дарья Ю.;0;0;350
20.12.2022 11:19;20.12.2022;*8125;OK;-269;RUB;-269;RUB;2;Супермаркеты;5411;Мираторг;2;0;269
19.12.2022 18:57;19.12.2022;;OK;-408;RUB;-408;RUB;;Переводы;;Дмитрий Г.;0;0;408
19.12.2022 14:05;19.12.2022;;OK;-596;RUB;-596;RUB;;Переводы;;Дмитрий Г.;0;0;596
19.12.2022 10:06;19.12.2022;*8125;OK;-495,6;RUB;-495,6;RUB;4;Супермаркеты;5411;Мираторг;4;0;495,6
18.12.2022 23:27;19.12.2022;;OK;-746;RUB;-746;RUB;;Переводы;;Дмитрий Г.;0;0;746
18.12.2022 18:52;18.12.2022;*8125;OK;-637;RUB;-637;RUB;6;Фастфуд;5814;Вкусно — и точка;6;0;637
18.12.2022 16:49;18.12.2022;*8125;OK;-1023,79;RUB;-1023,79;RUB;10;Топливо;5541;Яндекс.Заправки;10;0;1023,79
18.12.2022 16:49;18.12.2022;*8125;OK;-190;RUB;-190;RUB;1;Супермаркеты;5411;Shell;1;0;190
18.12.2022 2:04;18.12.2022;;OK;-1278,5;RUB;-1278,5;RUB;;Переводы;;Перевод по запросу самому себе;0;0;1278,5
17.12.2022 22:29;18.12.2022;*8125;OK;-4880,51;RUB;-4880,51;RUB;48;Одежда и обувь;5621;Inneme;48;0;4880,51
17.12.2022 19:47;17.12.2022;;OK;-1500;RUB;-1500;RUB;;Переводы;;Дарья Ю.;0;0;1500
16.12.2022 11:07;16.12.2022;*8125;OK;-379,66;RUB;-379,66;RUB;3;Супермаркеты;5411;Мираторг;3;0;379,66
15.12.2022 22:42;15.12.2022;;OK;0,12;RUB;0,12;RUB;;Бонусы;;Проценты на остаток;0;0;0,12
15.12.2022 14:51;15.12.2022;*8125;OK;3306;RUB;3306;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;3306
15.12.2022 11:28;15.12.2022;*8125;OK;-369,72;RUB;-369,72;RUB;3;Супермаркеты;5411;Мираторг;3;0;369,72
14.12.2022 11:14;14.12.2022;*8125;OK;-249;RUB;-249;RUB;2;Супермаркеты;5411;Мираторг;2;0;249
13.12.2022 20:09;13.12.2022;*8125;OK;-289,78;RUB;-289,78;RUB;2;Супермаркеты;5411;Мираторг;2;0;289,78
13.12.2022 20:02;13.12.2022;*8125;OK;-1550;RUB;-1550;RUB;77;Цветы;5992;Salon Tsvetov;77;0;1550
13.12.2022 15:26;13.12.2022;*8125;OK;-329;RUB;-329;RUB;3;Фастфуд;5814;KFC;3;0;329
13.12.2022 14:44;13.12.2022;;OK;-1786;RUB;-1786;RUB;;Переводы;;Дмитрий Г.;0;0;1786
13.12.2022 14:23;13.12.2022;;OK;-102;RUB;-102;RUB;;Переводы;;Дмитрий Г.;0;0;102
13.12.2022 13:25;13.12.2022;;OK;-613;RUB;-613;RUB;;Переводы;;Дмитрий Г.;0;0;613
12.12.2022 22:40;13.12.2022;*8125;OK;-1774,8;RUB;-1774,8;RUB;17;Топливо;5541;Яндекс.Заправки;17;0;1774,8
12.12.2022 14:35;12.12.2022;*8125;OK;-438;RUB;-438;RUB;4;Фастфуд;5814;KFC;4;0;438
12.12.2022 12:06;12.12.2022;;OK;-4000;RUB;-4000;RUB;;Переводы;;Дарья Ю.;0;0;4000
12.12.2022 0:27;12.12.2022;;OK;-3787,09;RUB;-3787,09;RUB;;ЖКХ;;Сервисград (Москва);0;0;3787,09
12.12.2022 0:25;12.12.2022;;OK;-1737,63;RUB;-1737,63;RUB;;ЖКХ;;МОЭК (Москва);0;0;1737,63
10.12.2022 22:58;11.12.2022;*8125;OK;-261,8;RUB;-261,8;RUB;2;Супермаркеты;5411;Мираторг;2;0;261,8
10.12.2022 21:23;10.12.2022;*8125;OK;1200;RUB;1200;RUB;;Переводы;;Дарья Ю.;0;0;1200
10.12.2022 21:21;10.12.2022;;OK;-2400;RUB;-2400;RUB;;Переводы;;Олеся Ж.;0;0;2400
09.12.2022 22:04;10.12.2022;*8125;OK;-385;RUB;-385;RUB;3;Фастфуд;5814;bo.cafe;3;0;385
09.12.2022 21:46;10.12.2022;*8125;OK;-3053;RUB;-3053;RUB;30;Дом и ремонт;5200;Леруа Мерлен;30;0;3053
08.12.2022 9:20;08.12.2022;*8125;OK;-749,54;RUB;-749,54;RUB;7;Супермаркеты;5411;Мираторг;7;0;749,54
08.12.2022 8:59;08.12.2022;*8125;OK;-2600;RUB;-2600;RUB;26;Медицина;8062;Trm 39636;26;0;2600
07.12.2022 12:18;07.12.2022;;OK;-284;RUB;-284;RUB;;Переводы;;Дмитрий Г.;0;0;284
07.12.2022 10:32;07.12.2022;*8125;OK;-165,9;RUB;-165,9;RUB;1;Супермаркеты;5411;Мираторг;1;0;165,9
07.12.2022 1:11;07.12.2022;;OK;-589,37;RUB;-589,37;RUB;;Связь;4814;Ростелеком;0;0;589,37
06.12.2022 15:09;06.12.2022;*8125;OK;-458;RUB;-458;RUB;4;Фастфуд;5814;KFC;4;0;458
05.12.2022 18:17;05.12.2022;*8125;OK;11433,86;RUB;11433,86;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;11433,86
05.12.2022 12:14;05.12.2022;*8125;OK;24692,38;RUB;24692,38;RUB;;Пополнения;;Дмитрий Г.;0;0;24692,38
05.12.2022 12:12;05.12.2022;;OK;-2700;RUB;-2700;RUB;;Переводы;;Дарья Ю.;0;0;2700
04.12.2022 18:54;04.12.2022;*8125;OK;-75;RUB;-75;RUB;;Супермаркеты;5499;Produkty;0;0;75
04.12.2022 17:34;05.12.2022;*8125;OK;-2000;RUB;-2000;RUB;20;Топливо;5541;OOO Nefteg;20;0;2000
04.12.2022 14:59;04.12.2022;*8125;OK;-987,05;RUB;-987,05;RUB;9;Супермаркеты;5411;Hozmax;9;0;987,05
04.12.2022 14:15;04.12.2022;;OK;-400;RUB;-400;RUB;;Переводы;;Артур К.;0;0;400
